01,申報書附件資料封面
02,損益及稅額計算表
03,所得基本稅額申報表
04,資產負債表
06,未分配盈餘申報書
07,其他明細計算表（如：期末存貨明細表、直接原料明細表、成本分析表單）
08,繳款書
09,財產目錄
10,股東會/董事會議事錄及盈虧撥補表等
11,關係人結構圖
12,委任書
13,境外所得可扣抵稅額之納稅憑證、大陸地區所得可扣抵稅額之納稅憑證及簽證文件等
14,依所得稅法第24條之4規定計算營利事業所得額之海運業務及非海運業務收入、成本、費用、損失明細表及相關證明文件
15,會計師查核簽證報告—稅務簽證
16,會計師查核簽證報告—財務簽證
17,租稅減免證明文件
19,會計師簽證案件申報書表合併檔（附件類別１至６）
20,營利事業所得稅聲明事項表及證明文件
22,存摺封面影本
23,處分固定資產明細等相關資料
25,營業人銷售額申報書影本
26,各類所得扣繳暨免扣繳憑單申報書
27,股利憑單申報書
28,營利事業投資人明細及分配盈餘表網路申報收執聯
29,公司股東(獨資資本主、合夥人)股份(股票、出資額)轉讓通報表網路申報收執聯
30,進行一次性移轉訂價調整之相關證明文件
31,前十年房屋、土地、房屋使用權、預售屋及其坐落基地暨股份或出資額交易損失減除明細表
32,受控外國企業（CFC）經會計師查核簽證財務報表或替代該財務報表之其他文據
99,其他附件（除附件類別01至32以外之資料）
